Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Sub category,Units,Loopflag,Seq,Adit initial rows,Enumeration ties,Mandatory code overides,Overide value,Overide view value,ADIT auto insert,Example,Prompt,Interface,bmrbPdbMatchID,bmrbPdbTransFunc,STAR flag,DB flag,SfLabelFlg,Sf category flag,Framecode value flag,Natural primary key,Natural foreign key,Redundant keys,Parent tag,public,internal,small molecule,small molecule,metabolomics,metabolomics,Overide public,internal,small molecule,small molecule,metabolomic,metabolomic,default value,Adit form code,Tag category,Tag field,Local key,Datum count flag,pdbx equivalent,mmCIF equivalent,Meta data,Tag delete,BMRB data type,STAR vs Curated DB,Key group,Reference table,Reference column,Dictionary description,variableTypeMatch,entryIdFlg,outputMapExistsFlg,lclSfIdFlg,Met ADIT category view name,Met Example,Met Prompt,Met Description,SM Struct ADIT-NMR category view name,SM Struct Example,SM Struct Prompt,SM Struct Description,Met default value,SM default value
39320,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct,_Tertiary_struct.Entity_label,,,,,,Y,H,H,H,H,H,H,,,,,,Entity label,VARCHAR(127),,,TertiaryStruct,EntityLabel,N,N,,,,Entity,Sf_framecode,,,,Y,70,,,,,,8,?,n/a,Pointer to a saveframe of the category 'entity',?,?,Y,Y,Y,N,Y,N,?,?,?,O,V,V,V,V,V,V,V,V,V,V,V,?,1,Tertiary_struct,Entity_label,?,?,?,?,N,N,label,,?,?,?,Pointer to a saveframe of the category 'entity',,N,?,?,Tertiary struct,?,n/a,Pointer to a saveframe of the category 'entity',Tertiary struct,?,n/a,Pointer to a saveframe of the category 'entity',?,?
39330,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct,_Tertiary_struct.Comp_index_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Comp index ID,INTEGER,NOT NULL,,TertiaryStruct,CompIndexID,N,N,,Y,,Entity_comp_index,ID,,,,Y,80,,,,,,0,24,n/a,Pointer to '_Entity_comp_index.ID',?,?,Y,Y,N,N,N,N,?,?,_Entity_comp_index.ID,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Tertiary_struct,Comp_index_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Entity_comp_index.ID',,N,?,?,Tertiary struct,24,n/a,Pointer to '_Entity_comp_index.ID',Tertiary struct,24,n/a,Pointer to '_Entity_comp_index.ID',?,?
39340,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct,_Tertiary_struct.Seq_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Seq ID,INTEGER,NOT NULL,,TertiaryStruct,SeqID,N,N,,,,Entity_poly_seq,Num,,,,Y,90,,,,,,0,24,n/a,Pointer to '_PDBX_poly_seq_scheme.Seq_ID',?,?,Y,Y,N,N,N,N,_PDBX_poly_seq_scheme.Seq_ID,?,_Entity_poly_seq.Num,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Tertiary_struct,Seq_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Entity_poly_seq.Num',,N,?,?,Tertiary struct,24,n/a,Pointer to '_PDBX_poly_seq_scheme.Seq_ID',Tertiary struct,24,n/a,Pointer to '_PDBX_poly_seq_scheme.Seq_ID',?,?
39350,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct,_Tertiary_struct.Comp_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Comp ID,CHAR(12),NOT NULL,,TertiaryStruct,CompID,N,N,,,,Chem_comp,ID,,,,Y,100,,,,,,0,ALA,n/a,Pointer to '_Chem_comp.ID',?,?,Y,Y,N,N,N,N,_Chem_comp.ID,?,_Chem_comp.ID,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Tertiary_struct,Comp_ID,?,?,?,?,N,N,code,,?,?,?,Pointer to '_Chem_comp.ID',,N,?,?,Tertiary struct,ALA,n/a,Pointer to '_Chem_comp.ID',Tertiary struct,ALA,n/a,Pointer to '_Chem_comp.ID',?,?
39360,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct,_Tertiary_struct.Atom_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Atom ID,CHAR(12),NOT NULL,,TertiaryStruct,AtomID,N,N,,Y,,Chem_comp_atom,Atom_ID,,,,Y,110,,,,,,0,HA,n/a,Pointer to '_Chem_comp_atom.Atom_ID',?,?,Y,Y,N,N,N,N,_Chem_comp_atom.Atom_ID,?,_Chem_comp_atom.Atom_ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Tertiary_struct,Atom_ID,?,?,?,?,N,N,atcode,,?,?,?,Pointer to '_Chem_comp_atom.Atom_ID',,N,?,?,Tertiary struct,HA,n/a,Pointer to '_Chem_comp_atom.Atom_ID',Tertiary struct,HA,n/a,Pointer to '_Chem_comp_atom.Atom_ID',?,?
39370,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct,_Tertiary_struct.Atom_type,,X,,,,Y,H,H,H,H,H,N,,,,,,Atom type,VARCHAR(15),,,TertiaryStruct,AtomType,N,N,,,,,,,,,Y,120,,,,,,0,H,n/a,The value for this tag is a standard IUPAC abbreviation for a chemical element (i.e.$ H$ C$ P$ etc).,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Tertiary_struct,Atom_type,?,?,?,?,N,N,code,,?,?,?,The value for this tag is a standard IUPAC abbreviation for a chemical element (i.e.$ H$ C$ P$ etc).,,N,?,?,Tertiary struct,H,n/a,The value for this tag is a standard IUPAC abbreviation for a chemical element (i.e.$ H$ C$ P$ etc).,Tertiary struct,H,n/a,The value for this tag is a standard IUPAC abbreviation for a chemical element (i.e.$ H$ C$ P$ etc).,?,?
39380,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct,_Tertiary_struct.Tertiary_struct_element_code,,X,,,,Y,H,H,H,H,H,N,,,,,,Tertiary struct element code,VARCHAR(15),NOT NULL,,TertiaryStruct,TertiaryStructElementCode,N,N,,,,,,,,,Y,130,,,,,,0,?,n/a,Code defining the type of tertiary structure element that is being defined.,?,?,Y,Y,N,N,N,N,?,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,1,Tertiary_struct,Tertiary_struct_element_code,?,?,?,?,N,N,code,,?,?,?,Code defining the type of tertiary structure element that is being defined.,,N,?,?,Tertiary struct,?,n/a,Code defining the type of tertiary structure element that is being defined.,Tertiary struct,?,n/a,Code defining the type of tertiary structure element that is being defined.,?,?
39390,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct,_Tertiary_struct.Details,,X,,,,Y,H,H,H,H,H,N,,,,,,Details,TEXT,,,TertiaryStruct,Details,N,N,,,,,,,,,Y,140,,,,,,0,?,n/a,Text providing additional information concerning the reported tertiary structure element.,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,2,Tertiary_struct,Details,?,?,?,?,N,N,text,,?,?,?,Text providing additional information concerning the reported tertiary structure element.,,N,?,?,Tertiary struct,?,n/a,Text providing additional information concerning the reported tertiary structure element.,Tertiary struct,?,n/a,Text providing additional information concerning the reported tertiary structure element.,?,?
39400,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct,_Tertiary_struct.Auth_entity_assembly_ID,,,,,,Y,H,H,H,H,H,N,,,,,,Auth entity assembly ID,INTEGER,,,TertiaryStruct,AuthEntityAssemblyID,N,N,,,,,,,,,Y,150,,,,,,0,2,n/a,?,?,?,Y,Y,N,N,N,N,_Entity_assembly.ID,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Tertiary_struct,Auth_entity_assembly_ID,,,,,,,int,,?,?,?,?,,N,?,?,?,?,n/a,?,?,?,n/a,?,?,?
39410,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct,_Tertiary_struct.Auth_seq_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Auth seq ID,VARCHAR(15),,,TertiaryStruct,AuthSeqID,N,N,,,,,,,,,Y,160,,,,,,0,-3,n/a,An alternative identifier for Seq_id that may be provided by an author in order to match that used in the publication that describes the experimental data.  Note that the value is not required to be a number and does not need to correspond to the value for Seq_ID or Comp_index_ID.,?,?,Y,Y,N,N,N,N,_Atom_site.Auth_seq_ID,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,1,Tertiary_struct,Auth_seq_ID,?,?,?,?,N,N,code,,?,?,?,An alternative identifier for Seq_id that may be provided by an author in order to match that used in the publication that describes the experimental data.  Note that the value is not required to be a number and does not need to correspond to the value for Seq_ID or Comp_index_ID.,,N,?,?,Tertiary struct,-3,n/a,An alternative identifier for Seq_id that may be provided by an author in order to match that used in the publication that describes the experimental data.  Note that the value is not required to be a number and does not need to correspond to the value for Seq_ID or Comp_index_ID.,Tertiary struct,-3,n/a,An alternative identifier for Seq_id that may be provided by an author in order to match that used in the publication that describes the experimental data.  Note that the value is not required to be a number and does not need to correspond to the value for Seq_ID or Comp_index_ID.,?,?
39420,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct,_Tertiary_struct.Auth_comp_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Auth comp ID,VARCHAR(15),,,TertiaryStruct,AuthCompID,N,N,,,,,,,,,Y,170,,,,,,0,DPN,n/a,An alternative identifier for Comp_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,?,?,Y,Y,N,N,N,N,_Atom_site.Auth_comp_ID,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,1,Tertiary_struct,Auth_comp_ID,?,?,?,?,N,N,code,,?,?,?,An alternative identifier for Comp_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,,N,?,?,Tertiary struct,DPN,n/a,An alternative identifier for Comp_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,Tertiary struct,DPN,n/a,An alternative identifier for Comp_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,?,?
39430,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct,_Tertiary_struct.Auth_atom_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Auth atom ID,VARCHAR(15),,,TertiaryStruct,AuthAtomID,N,N,,,,,,,,,Y,180,,,,,,0,HB1,n/a,An alternative identifier for Atom_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,?,?,Y,Y,N,N,N,N,_Chem_comp_atom.Atom_ID,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,1,Tertiary_struct,Auth_atom_ID,?,?,?,?,N,N,code,,?,?,?,An alternative identifier for Atom_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,,N,?,?,Tertiary struct,HB1,n/a,An alternative identifier for Atom_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,Tertiary struct,HB1,n/a,An alternative identifier for Atom_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,?,?
39440,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct,_Tertiary_struct.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,TertiaryStruct,SfID,N,Y,,,,Tertiary_struct_element_list,Sf_ID,,,,Y,190,,,,,,4,?,n/a,Pointer to '_Tertiary_struct_element_list.Sf_ID',?,?,Y,Y,N,N,N,N,_Tertiary_struct_element_list.Sf_ID,?,_Tertiary_struct_element_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Tertiary_struct,Sf_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Tertiary_struct_element_list.Sf_ID',,N,?,?,Tertiary struct,?,n/a,Pointer to '_Tertiary_struct_element_list.Sf_ID',Tertiary struct,?,n/a,Pointer to '_Tertiary_struct_element_list.Sf_ID',?,?
39450,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct,_Tertiary_struct.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,TertiaryStruct,EntryID,N,N,,Y,,Entry,ID,,,,Y,200,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Tertiary_struct,Entry_ID,?,?,?,?,N,N,code,,?,?,?,Pointer to '_Entry.ID',,Y,?,?,Tertiary struct,?,n/a,Pointer to '_Entry.ID',Tertiary struct,?,n/a,Pointer to '_Entry.ID',?,?
39460,tertiary_struct_elements,N,T6,8,structure,640,Tertiary struct,_Tertiary_struct.Tertiary_struct_element_list_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Tertiary struct element list ID,INTEGER,NOT NULL,,TertiaryStruct,TertiaryStructElementListID,N,N,,Y,,Tertiary_struct_element_list,ID,,,,Y,210,,,,,,5,1,n/a,Pointer to '_Tertiary_struct_element_list.ID',?,?,Y,Y,N,N,N,N,_Tertiary_struct_element_list.ID,?,_Tertiary_struct_element_list.ID,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Tertiary_struct,Tertiary_struct_element_list_ID,Y,?,?,?,N,N,int,,?,?,?,Pointer to '_Tertiary_struct_element_list.ID',,N,?,Y,Tertiary struct,1,n/a,Pointer to '_Tertiary_struct_element_list.ID',Tertiary struct,1,n/a,Pointer to '_Tertiary_struct_element_list.ID',?,?
39470,secondary_structs,N,R,8,structure,650,Secondary struct list,_Secondary_struct_list.Sf_category,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),NOT NULL,,SecondaryStructList,SfCategory,N,N,,,,,,,,,N,10550,,,,,,1,?,n/a,Category definition for the information content of the saveframe,?,?,Y,Y,N,Y,N,N,?,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Secondary_struct_list,Sf_category,?,?,?,?,Y,N,code,,?,?,?,Category definition for the information content of the saveframe,,N,?,?,Secondary struct list,?,n/a,Category definition for the information content of the saveframe,Secondary struct list,?,n/a,Category definition for the information content of the saveframe,?,?
39480,secondary_structs,N,R,8,structure,650,Secondary struct list,_Secondary_struct_list.Sf_framecode,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),NOT NULL,,SecondaryStructList,SfFramecode,N,N,,,,,,,,,N,10560,,,,,,2,?,Label for the set of secondary structural elements deduced from the atomic coordinates,A label for the saveframe that describes in very brief terms the information contained in the saveframe.,?,?,Y,Y,Y,N,N,N,?,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,1,Secondary_struct_list,Sf_framecode,?,?,?,?,Y,N,framecode,,?,?,?,A label for the saveframe that describes in very brief terms the information contained in the saveframe.,,N,?,?,Secondary struct list,?,Label for the set of secondary structural elements deduced from the atomic coordinates,A label for the saveframe that describes in very brief terms the information contained in the saveframe.,Secondary struct list,?,Label for the set of secondary structural elements deduced from the atomic coordinates,A label for the saveframe that describes in very brief terms the information contained in the saveframe.,?,?
39490,secondary_structs,N,R,8,structure,650,Secondary struct list,_Secondary_struct_list.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,SecondaryStructList,EntryID,N,N,,Y,,Entry,ID,,,,N,10570,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Secondary_struct_list,Entry_ID,Y,?,?,?,Y,N,code,,?,?,?,Pointer to '_Entry.ID',,Y,?,?,Secondary struct list,?,n/a,Pointer to '_Entry.ID',Secondary struct list,?,n/a,Pointer to '_Entry.ID',?,?
39500,secondary_structs,N,R,8,structure,650,Secondary struct list,_Secondary_struct_list.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,SecondaryStructList,SfID,N,Y,Y,,,,,,,,N,10580,,,,,,4,?,n/a,An integer value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?,Y,Y,N,N,N,N,?,?,?,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Secondary_struct_list,Sf_ID,?,?,?,?,Y,N,int,,?,?,?,An interger value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,,N,?,?,Secondary struct list,?,n/a,An integer value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,Secondary struct list,?,n/a,An integer value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?
39510,secondary_structs,N,R,8,structure,650,Secondary struct list,_Secondary_struct_list.ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,ID,INTEGER,NOT NULL,,SecondaryStructList,SecondaryStructListID,N,N,Y,Y,,,,,,,N,10590,,,,,,5,1,Secondary struct list ID,An integer value that uniquely identifies this saveframe of secondary structure element data from other saveframes of this category in an entry.,?,?,Y,Y,N,N,N,N,?,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Secondary_struct_list,ID,Y,?,?,?,Y,N,int,,?,?,?,An integer value that uniquely identifies this saveframe of secondary structure element data from other saveframes of this category in an entry.,,N,?,Y,Secondary struct list,1,Secondary struct list ID,An integer value that uniquely identifies this saveframe of secondary structure element data from other saveframes of this category in an entry.,Secondary struct list,1,Secondary struct list ID,An integer value that uniquely identifies this saveframe of secondary structure element data from other saveframes of this category in an entry.,?,?
39520,secondary_structs,N,R,8,structure,650,Secondary struct list,_Secondary_struct_list.Representative_conformer_ID,,,,,,Y,H,H,H,H,H,N,,,,,,Representative conformer ID,INTEGER,,,SecondaryStructList,RepresentativeConformerID,N,N,,,,Representative_conformer,ID,,,,N,10600,,,,,,7,?,n/a,Pointer to '_Representative_conformer.ID',?,?,Y,Y,N,N,N,N,_Representative_conformer.ID,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Secondary_struct_list,Representative_conformer_ID,?,?,?,?,Y,N,int,,?,?,?,Pointer to '_Representative_conformer.ID',,N,?,?,Secondary struct list,?,n/a,Pointer to '_Representative_conformer.ID',Secondary struct list,?,n/a,Pointer to '_Representative_conformer.ID',?,?
39530,secondary_structs,N,R,8,structure,650,Secondary struct list,_Secondary_struct_list.Representative_conformer_label,,,,,,Y,H,H,H,H,H,N,,,,,,Representative conformer label,VARCHAR(127),,,SecondaryStructList,RepresentativeConformerLabel,N,N,,,,,,,,,N,10610,,,,,,8,?,Label for the representative conformer exhibiting the listed tertiary structure elements.,Pointer to a saveframe of the category 'representative_conformer',?,?,Y,Y,N,N,Y,N,?,?,?,O,V,V,V,V,V,V,V,V,V,V,V,?,1,Secondary_struct_list,Representative_conformer_label,?,?,?,?,Y,N,label,,?,?,?,Pointer to a saveframe of the category 'representative_conformer',,N,?,?,Secondary struct list,?,Label for the representative conformer exhibiting the listed tertiary structure elements.,Pointer to a saveframe of the category 'representative_conformer',Secondary struct list,?,Label for the representative conformer exhibiting the listed tertiary structure elements.,Pointer to a saveframe of the category 'representative_conformer',?,?
39540,secondary_structs,N,T6,8,structure,650,Secondary struct selection meth,_Secondary_struct_sel.Method_ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,Method ID,INTEGER,NOT NULL,,SecondaryStructSel,MethodID,N,N,,Y,,Method,ID,,,,Y,10,2,,,,,7,8,Selection method ID,Pointer to '_Method.ID',?,?,Y,Y,N,N,N,N,_Method.ID,?,_Method.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Secondary_struct_sel,Method_ID,Y,?,?,?,Y,N,int,,?,?,?,Pointer to '_Method.ID',,N,?,?,Secondary struct selection meth,8,Selection method ID,Pointer to '_Method.ID',Secondary struct selection meth,8,Selection method ID,Pointer to '_Method.ID',?,?
39550,secondary_structs,N,T6,8,structure,650,Secondary struct selection meth,_Secondary_struct_sel.Method_label,,MC,,,,Y,H,H,H,H,H,N,,,,,,Method label,VARCHAR(127),NOT NULL,,SecondaryStructSel,MethodLabel,N,N,,,,,,,,,Y,20,2,,,,,8,?,n/a,Pointer to a saveframe of the category 'method',?,?,Y,Y,N,N,Y,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Secondary_struct_sel,Method_label,?,?,?,?,Y,N,label,,?,?,?,Pointer to a saveframe of the category 'method',,N,?,?,Secondary struct selection meth,?,n/a,Pointer to a saveframe of the category 'method',Secondary struct selection meth,?,n/a,Pointer to a saveframe of the category 'method',?,?
39560,secondary_structs,N,T6,8,structure,650,Secondary struct selection meth,_Secondary_struct_sel.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,SecondaryStructSel,SfID,N,Y,,,,Secondary_struct_list,Sf_ID,,,,Y,30,2,,,,,4,?,n/a,Pointer to '_Secondary_struct_list.Sf_ID',?,?,Y,Y,N,N,N,N,_Secondary_struct_list.Sf_ID,?,_Secondary_struct_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Secondary_struct_sel,Sf_ID,?,?,?,?,Y,N,int,,?,?,?,Pointer to '_Secondary_struct_list.Sf_ID',,N,?,?,Secondary struct selection meth,?,n/a,Pointer to '_Secondary_struct_list.Sf_ID',Secondary struct selection meth,?,n/a,Pointer to '_Secondary_struct_list.Sf_ID',?,?
39570,secondary_structs,N,T6,8,structure,650,Secondary struct selection meth,_Secondary_struct_sel.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,SecondaryStructSel,EntryID,N,N,,Y,,Entry,ID,,,,Y,40,2,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Secondary_struct_sel,Entry_ID,?,?,?,?,Y,N,code,,?,?,?,Pointer to '_Entry.ID',,Y,?,?,Secondary struct selection meth,?,n/a,Pointer to '_Entry.ID',Secondary struct selection meth,?,n/a,Pointer to '_Entry.ID',?,?
39580,secondary_structs,N,T6,8,structure,650,Secondary struct selection meth,_Secondary_struct_sel.Secondary_struct_list_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Secondary struct list ID,INTEGER,NOT NULL,,SecondaryStructSel,SecondaryStructListID,N,N,,Y,,Secondary_struct_list,ID,,,,Y,50,2,,,,,5,1,n/a,Pointer to '_Secondary_struct_list.ID',?,?,Y,Y,N,N,N,N,_Secondary_struct_list.ID,?,_Secondary_struct_list.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Secondary_struct_sel,Secondary_struct_list_ID,Y,?,?,?,Y,N,int,,?,?,?,Pointer to '_Secondary_struct_list.ID',,N,?,Y,Secondary struct selection meth,1,n/a,Pointer to '_Secondary_struct_list.ID',Secondary struct selection meth,1,n/a,Pointer to '_Secondary_struct_list.ID',?,?
39590,secondary_structs,N,T6,8,structure,650,Secondary struct,_Secondary_struct.ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,ID,INTEGER,NOT NULL,,SecondaryStruct,SecondaryStructID,Y,N,,Y,,,,,,,Y,10,5,,,,,6,?,n/a,An integer value that uniquely identifies the reported secondary structure element.,?,?,Y,Y,N,N,N,N,?,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Secondary_struct,ID,Y,?,?,?,N,N,int,,?,?,?,An integer value that uniquely identifies the reported secondary structure element.,,N,?,?,Secondary struct,?,n/a,An integer value that uniquely identifies the reported secondary structure element.,Secondary struct,?,n/a,An integer value that uniquely identifies the reported secondary structure element.,?,?
39600,secondary_structs,N,T6,8,structure,650,Secondary struct,_Secondary_struct.Conf_family_coord_set_ID,,,,,,Y,H,H,H,H,H,N,,,,,,Conf family coord set ID,INTEGER,,,SecondaryStruct,ConfFamilyCoordSetID,N,N,,,,Conformer_family_coord_set,ID,,,,Y,20,5,,,,,7,?,n/a,Pointer to '_Conformer_family_coord_set.ID',?,?,Y,Y,N,N,N,N,_Conformer_family_coord_set.ID,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Secondary_struct,Conf_family_coord_set_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Conformer_family_coord_set.ID',,N,?,?,Secondary struct,?,n/a,Pointer to '_Conformer_family_coord_set.ID',Secondary struct,?,n/a,Pointer to '_Conformer_family_coord_set.ID',?,?
